template_subtype,bit_simple_family,bit_independent_unique,bit_bijection_unique,bit_boolean2_unique,bit_boolean3_unique,bit_affine_unique,bit_byte_transform_unique,bit_hybrid_consensus_ready,selection_tier,analysis_notes,teacher_solver_candidate,rows
bit_other,unknown,False,False,False,False,False,False,False,manual_audit_priority,bit_audit_needed,,878
bit_structured_byte_formula,unknown,False,False,False,False,False,False,False,verified_trace_ready,bit_structured_byte_exact,binary_structured_byte_formula,174
bit_other,unknown,False,False,False,False,True,False,False,manual_audit_priority,bit_audit_needed,,112
bit_other,unknown,False,False,False,False,True,False,False,verified_trace_ready,bit_exact,binary_affine_xor,112
bit_other,unknown,False,False,True,False,True,False,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,59
bit_other,unknown,False,False,True,False,False,False,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,52
bit_permutation_inversion,unknown,True,True,False,False,False,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,25
bit_other,unknown,False,False,False,False,False,False,True,answer_only_keep,bit_hybrid_consensus,,16
bit_other,unknown,False,False,False,False,True,False,True,verified_trace_ready,bit_exact,binary_affine_xor,16
bit_structured_byte_formula,unknown,False,False,False,False,True,False,False,verified_trace_ready,bit_structured_byte_exact,binary_structured_byte_formula,15
bit_permutation_inversion,unknown,True,True,False,False,True,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,11
bit_other,unknown,False,False,False,True,False,False,False,verified_trace_ready,bit_exact,binary_three_bit_boolean,9
bit_other,rshift,False,False,False,False,False,True,False,verified_trace_ready,bit_exact,binary_byte_transform,7
bit_other,unknown,False,False,False,False,True,False,False,exclude_suspect,bit_affine_low_gap_mismatch,,7
bit_other,unknown,False,False,True,True,False,False,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,7
bit_permutation_inversion,lrot,True,True,False,False,False,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,7
bit_permutation_inversion,rrot,True,True,False,False,False,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,7
bit_other,unknown,False,False,False,True,True,False,False,verified_trace_ready,bit_exact,binary_three_bit_boolean,6
bit_permutation_inversion,lrot,True,True,False,False,True,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,6
bit_permutation_inversion,unknown,True,True,True,False,False,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,6
bit_permutation_inversion,unknown,True,True,True,False,True,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,6
bit_other,unknown,False,False,True,False,False,False,True,verified_trace_ready,bit_exact,binary_two_bit_boolean,5
bit_other,unknown,False,False,True,True,True,False,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,5
bit_permutation_inversion,rrot,True,True,False,False,True,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,5
bit_permutation_inversion,unknown,True,False,False,False,False,False,False,exclude_suspect,bit_audit_needed,,5
bit_permutation_inversion,unknown,True,False,False,False,False,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_independent,5
bit_other,unknown,False,False,False,False,True,False,True,answer_only_keep,bit_hybrid_consensus,,4
bit_permutation_inversion,unknown,False,False,False,False,False,False,False,manual_audit_priority,bit_audit_needed,,4
bit_other,unknown,False,False,True,False,True,False,True,verified_trace_ready,bit_exact,binary_two_bit_boolean,3
bit_other,or_mask,False,False,False,False,True,True,False,verified_trace_ready,bit_exact,binary_affine_xor,2
bit_other,or_mask,False,False,False,True,False,True,False,verified_trace_ready,bit_exact,binary_three_bit_boolean,2
bit_other,rshift,False,False,False,False,True,True,False,verified_trace_ready,bit_exact,binary_affine_xor,2
bit_other,unknown,False,False,False,True,False,False,False,manual_audit_priority,bit_audit_needed,,2
bit_permutation_inversion,lrot,False,False,False,False,False,True,False,verified_trace_ready,bit_exact,binary_byte_transform,2
bit_permutation_inversion,rrot,True,True,False,False,False,True,False,exclude_suspect,bit_audit_needed,,2
bit_permutation_inversion,rrot,True,True,True,False,True,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,2
bit_other,lshift,False,False,False,False,False,True,False,verified_trace_ready,bit_exact,binary_byte_transform,1
bit_other,lshift,False,False,True,False,False,True,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,1
bit_other,or_mask,False,False,False,False,False,True,False,verified_trace_ready,bit_exact,binary_byte_transform,1
bit_other,rshift,False,False,True,False,False,True,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,1
bit_other,rshift,False,False,True,True,False,True,False,verified_trace_ready,bit_exact,binary_two_bit_boolean,1
bit_other,unknown,False,False,False,True,True,False,False,verified_trace_ready,bit_exact,binary_affine_xor,1
bit_other,unknown,False,False,True,False,False,False,False,manual_audit_priority,bit_audit_needed,,1
bit_other,unknown,False,False,True,True,True,False,True,verified_trace_ready,bit_exact,binary_two_bit_boolean,1
bit_permutation_inversion,lrot,True,True,True,False,False,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,1
bit_permutation_inversion,nibble_swap,True,True,False,False,False,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,1
bit_permutation_inversion,rrot,True,True,True,True,True,True,False,verified_trace_ready,bit_exact,binary_bit_permutation_bijection,1
bit_permutation_inversion,unknown,True,False,False,False,True,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_independent,1
bit_permutation_inversion,unknown,True,False,True,False,False,False,False,verified_trace_ready,bit_exact,binary_bit_permutation_independent,1
bit_permutation_inversion,unknown,True,True,False,False,False,False,False,exclude_suspect,bit_audit_needed,,1
